domaine,lune_actuelle,racine_web,cms,base_de_donnees,php,taille_mo,emails,dns_externe,sous_domaines,alias_dns,valeur_1_3,risque_1_3,lune_cible,notes
acheterdesactions.fr,elyes7,,,,,,non,,,,,,elyes7,reste en place
actejuridique.fr,elyes7,,,,,,non,,,,,,elyes7,reste en place
amenagements.net,elyes7,,,,,,non,,,,,,sc1elyes7,
bricoler.net,elyes7,,,,,,non,,,,,,sc1elyes7,
damejeanne.fr,elyes7,,,,,,non,,,,,,sc2elyes7,
disqueuse.net,elyes7,,,,,,non,,,,,,sc2elyes7,
maisonoptimale.fr,elyes7,,,,,,non,,,,,,sc3elyes7,
nourdegypte.com,elyes7,,,,,,non,,,,,,sc3elyes7,
pacteassocies.fr,elyes7,,,,,,non,,,,,,sc4elyes7,
reparer.eu,elyes7,,,,,,non,,,,,,sc4elyes7,
