domaine,lune_actuelle,racine_web,cms,base_de_donnees,php,taille_mo,emails,dns_externe,sous_domaines,alias_dns,valeur_1_3,risque_1_3,lune_cible,notes
revue-de-synthese.eu,trlh2564,,,,,,non,,,,,,trlh2564,reste en place
vv-artdesign.com,trlh2564,,,,,,non,,,,,,trlh2564,reste en place
wepeek.fr,trlh2564,,,,,,non,,,,,,trlh2564,reste en place
yatoo.org,trlh2564,,,,,,non,,,,,,trlh2564,reste en place
aliens-cafe.com,trlh2564,,,,,,non,,,,,,sc1trlh2564,
artswall.fr,trlh2564,,,,,,non,,,,,,sc1trlh2564,
blogvoyage.eu,trlh2564,,,,,,non,,,,,,sc1trlh2564,
caet.fr,trlh2564,,,,,,non,,,,,,sc1trlh2564,
delsoko.fr,trlh2564,,,,,,non,,,,,,sc1trlh2564,
espace-zen.fr,trlh2564,,,,,,non,,,,,,sc2trlh2564,
ftpix.fr,trlh2564,,,,,,non,,,,,,sc2trlh2564,
guidevoyage.net,trlh2564,,,,,,non,,,,,,sc2trlh2564,
herve-sarl.fr,trlh2564,,,,,,non,,,,,,sc2trlh2564,
kalaphoto.fr,trlh2564,,,,,,non,,,,,,sc2trlh2564,
laiton.eu,trlh2564,,,,,,non,,,,,,sc3trlh2564,
le-paysagiste.net,trlh2564,,,,,,non,,,,,,sc3trlh2564,
leblogdubienetre.com,trlh2564,,,,,,non,,,,,,sc3trlh2564,
morningcoffee.fr,trlh2564,,,,,,non,,,,,,sc3trlh2564,
muxi.fr,trlh2564,,,,,,non,,,,,,sc4trlh2564,
paiecheck.com,trlh2564,,,,,,non,,,,,,sc4trlh2564,
plomb.eu,trlh2564,,,,,,non,,,,,,sc4trlh2564,
programme-repere.fr,trlh2564,,,,,,non,,,,,,sc4trlh2564,
publiepapier.fr,trlh2564,,,,,,non,,,,,,sc4trlh2564,
